,time,open,high,low,close,volume
6283,2022-11-10 04:23:00,177.58,177.85,177.58,177.85,5987
6284,2022-11-10 04:22:00,177.6,177.6,177.51,177.51,2364
6285,2022-11-10 04:21:00,177.54,177.59,177.54,177.59,1704
6286,2022-11-10 04:20:00,177.31,177.51,177.3,177.51,5786
6287,2022-11-10 04:19:00,177.14,177.35,177.14,177.35,2281
6288,2022-11-10 04:18:00,177.16,177.16,177.13,177.13,3651
6289,2022-11-10 04:17:00,177.31,177.31,177.23,177.23,4404
6290,2022-11-10 04:16:00,177.13,177.18,177.13,177.18,2089
6291,2022-11-10 04:15:00,177.27,177.27,177.0,177.13,3914
6292,2022-11-10 04:14:00,177.25,177.38,177.25,177.37,3126
6293,2022-11-10 04:13:00,177.21,177.25,177.19,177.25,2060
6294,2022-11-10 04:12:00,177.2,177.22,177.01,177.01,5438
6295,2022-11-10 04:11:00,177.1,177.2,177.1,177.2,1749
6296,2022-11-10 04:10:00,176.81,177.03,176.79,177.0,5566
6297,2022-11-10 04:09:00,177.06,177.06,176.73,176.88,9896
6298,2022-11-10 04:08:00,177.55,177.57,177.1,177.1,14079
6299,2022-11-10 04:07:00,177.6,177.6,177.52,177.54,7167
6300,2022-11-10 04:06:00,177.62,177.62,177.58,177.59,4839
6301,2022-11-10 04:05:00,177.79,177.79,177.7,177.74,4350
6302,2022-11-10 04:04:00,177.38,177.59,177.38,177.59,6235
6303,2022-11-10 04:03:00,177.51,177.51,177.11,177.11,5977
6304,2022-11-10 04:02:00,178.0,178.18,177.4,177.5,22431
6305,2022-11-10 04:01:00,178.69,178.89,177.36,178.02,24334
6306,2022-11-09 20:00:00,176.5,176.5,176.47,176.5,15547
6307,2022-11-09 19:59:00,176.46,176.5,176.41,176.5,9965
6308,2022-11-09 19:58:00,176.45,176.5,176.45,176.5,4750
6309,2022-11-09 19:57:00,176.45,176.45,176.4,176.4,4720
6310,2022-11-09 19:56:00,176.5,176.5,176.43,176.49,3226
6311,2022-11-09 19:55:00,176.48,176.5,176.45,176.5,6329
6312,2022-11-09 19:54:00,176.43,176.45,176.35,176.45,4528
6313,2022-11-09 19:53:00,176.5,176.55,176.4,176.48,5978
6314,2022-11-09 19:52:00,176.6,176.6,176.5,176.51,11473
6315,2022-11-09 19:51:00,176.67,176.67,176.52,176.52,7940
6316,2022-11-09 19:50:00,176.66,176.67,176.65,176.67,2945
6317,2022-11-09 19:49:00,176.67,176.67,176.66,176.67,4616
6318,2022-11-09 19:48:00,176.65,176.69,176.63,176.63,4867
6319,2022-11-09 19:47:00,176.63,176.73,176.63,176.65,4620
6320,2022-11-09 19:46:00,176.63,176.65,176.63,176.65,1690
6321,2022-11-09 19:45:00,176.65,176.7,176.61,176.7,1884
6322,2022-11-09 19:44:00,176.72,176.72,176.6,176.65,11432
6323,2022-11-09 19:43:00,176.75,176.8,176.73,176.73,3709
6324,2022-11-09 19:42:00,176.85,176.85,176.8,176.8,2334
6325,2022-11-09 19:41:00,176.8882,176.89,176.74,176.74,4881
6326,2022-11-09 19:40:00,176.81,176.81,176.81,176.81,1111
6327,2022-11-09 19:39:00,176.86,176.88,176.77,176.85,3614
6328,2022-11-09 19:38:00,176.81,176.91,176.81,176.9,1715
6329,2022-11-09 19:37:00,176.87,176.87,176.8,176.81,2576
6330,2022-11-09 19:36:00,176.85,176.86,176.82,176.82,1068
6331,2022-11-09 19:35:00,176.85,176.87,176.8,176.8,2727
6332,2022-11-09 19:34:00,176.9,176.9,176.9,176.9,1090
6333,2022-11-09 19:33:00,176.95,176.96,176.95,176.96,1971
6334,2022-11-09 19:32:00,176.88,176.95,176.88,176.95,1715
6335,2022-11-09 19:31:00,177.0999,177.0999,176.95,176.95,5503
6336,2022-11-09 19:30:00,177.1,177.1,177.0101,177.0101,2046
6337,2022-11-09 19:29:00,177.1,177.1,177.0,177.08,4131
6338,2022-11-09 19:28:00,177.12,177.12,177.06,177.09,2423
6339,2022-11-09 19:27:00,177.15,177.17,177.1,177.12,3164
6340,2022-11-09 19:26:00,177.1,177.2,177.1,177.2,1482
6341,2022-11-09 19:25:00,177.1,177.1,177.1,177.1,1182
6342,2022-11-09 19:24:00,177.1,177.1,177.09,177.1,3218
6343,2022-11-09 19:23:00,177.0,177.1,177.0,177.1,4401
6344,2022-11-09 19:22:00,176.99,177.0,176.98,177.0,1543
6345,2022-11-09 19:21:00,176.91,176.99,176.91,176.99,2106
6346,2022-11-09 19:20:00,176.88,176.95,176.88,176.95,5177
6347,2022-11-09 19:19:00,176.89,176.9,176.89,176.9,3300
6348,2022-11-09 19:18:00,176.82,176.82,176.82,176.82,1251
6349,2022-11-09 19:17:00,176.8,176.9,176.8,176.81,1843
6350,2022-11-09 19:16:00,176.8,176.81,176.8,176.8,2313
6351,2022-11-09 19:15:00,176.86,176.86,176.8,176.8,1353
6352,2022-11-09 19:14:00,176.81,176.86,176.81,176.86,1341
6353,2022-11-09 19:13:00,176.8,176.86,176.8,176.86,1539
6354,2022-11-09 19:12:00,176.84,176.84,176.81,176.81,833
6355,2022-11-09 19:11:00,176.86,176.86,176.8,176.8,2149
6356,2022-11-09 19:10:00,176.9,176.9,176.86,176.86,1318
6357,2022-11-09 19:09:00,176.9,176.9,176.86,176.9,2042
6358,2022-11-09 19:08:00,176.83,176.86,176.83,176.86,1844
6359,2022-11-09 19:07:00,176.75,176.82,176.75,176.82,1982
6360,2022-11-09 19:06:00,176.79,176.8,176.77,176.79,1923
6361,2022-11-09 19:05:00,176.78,176.8,176.75,176.8,1616
6362,2022-11-09 19:04:00,176.73,176.76,176.73,176.73,2288
6363,2022-11-09 19:02:00,176.75,176.9,176.7,176.9,2879
6364,2022-11-09 19:01:00,176.74,176.75,176.7,176.75,2668
6365,2022-11-09 19:00:00,176.8,176.82,176.74,176.75,3976
6366,2022-11-09 18:59:00,176.85,176.85,176.8,176.8,1459
6367,2022-11-09 18:58:00,176.85,176.85,176.82,176.82,1770
6368,2022-11-09 18:57:00,176.81,177.0,176.81,177.0,997
6369,2022-11-09 18:56:00,176.79,177.1,176.76,176.99,6190
6370,2022-11-09 18:55:00,176.75,176.83,176.75,176.8,3778
6371,2022-11-09 18:54:00,176.83,176.83,176.83,176.83,1852
6372,2022-11-09 18:52:00,176.8,176.81,176.75,176.81,2116
6373,2022-11-09 18:51:00,176.7499,176.75,176.7499,176.75,956
6374,2022-11-09 18:50:00,176.8,176.8,176.8,176.8,1566
6375,2022-11-09 18:49:00,176.83,176.84,176.82,176.82,2170
6376,2022-11-09 18:48:00,176.8,176.84,176.8,176.84,1768
6377,2022-11-09 18:47:00,176.87,176.89,176.8,176.8499,2040
